age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
49,2,193366, HS-grad,9,0, Craft-repair,1,0,0,0,0,40,0,0
23,0,190709, Assoc-acdm,12,1, Protective-serv,0,0,0,0,0,52,0,0
20,2,266015, Some-college,10,1, Sales,3,1,0,0,0,44,0,0
45,2,386940, Bachelors,13,1, Exec-managerial,3,0,0,0,1408,40,0,0
30,0,59951, Some-college,10,0, Adm-clerical,3,0,0,0,0,40,0,0
22,0,311512, Some-college,10,0, Other-service,1,1,0,0,0,15,0,0
48,2,242406, 11th,7,1, Machine-op-inspct,4,0,0,0,0,40,1,0
21,2,197200, Some-college,10,1, Machine-op-inspct,3,0,0,0,0,40,0,0
19,2,544091, HS-grad,9,0, Adm-clerical,2,0,1,0,0,25,0,0
31,2,84154, Some-college,10,0, Sales,1,0,0,0,0,38, ?,1
48,1,265477, Assoc-acdm,12,0, Prof-specialty,1,0,0,0,0,40,0,0
31,2,507875, 9th,5,0, Machine-op-inspct,1,0,0,0,0,43,0,0
53,1,88506, Bachelors,13,0, Prof-specialty,1,0,0,0,0,40,0,0
24,2,172987, Bachelors,13,0, Tech-support,1,0,0,0,0,50,0,0
49,2,94638, HS-grad,9,1, Adm-clerical,4,0,1,0,0,40,0,0
25,2,289980, HS-grad,9,1, Handlers-cleaners,0,0,0,0,0,35,0,0
57,0,337895, Bachelors,13,0, Prof-specialty,1,1,0,0,0,40,0,1
53,2,144361, HS-grad,9,0, Machine-op-inspct,1,0,0,0,0,38,0,0
44,2,128354, Masters,14,1, Exec-managerial,4,0,1,0,0,40,0,0
41,0,101603, Assoc-voc,11,0, Craft-repair,1,0,0,0,0,40,0,0
29,2,271466, Assoc-voc,11,1, Prof-specialty,0,0,0,0,0,43,0,0
25,2,32275, Some-college,10,0, Exec-managerial,2, ?,1,0,0,40,0,0
18,2,226956, HS-grad,9,1, Other-service,3,0,1,0,0,30, ?,0
47,2,51835, Prof-school,15,0, Prof-specialty,2,0,1,0,1902,60,1,1
50,0,251585, Bachelors,13,1, Exec-managerial,0,0,0,0,0,55,0,1
47,1,109832, HS-grad,9,1, Exec-managerial,0,0,0,0,0,60,0,0
43,2,237993, Some-college,10,0, Tech-support,1,0,0,0,0,40,0,1
46,2,216666, 5th-6th,3,0, Machine-op-inspct,1,0,0,0,0,40,1,0
35,2,56352, Assoc-voc,11,0, Other-service,1,0,0,0,0,40,1,0
41,2,147372, HS-grad,9,0, Adm-clerical,1,0,0,0,0,48,0,0
30,2,188146, HS-grad,9,0, Machine-op-inspct,1,0,0,5013,0,40,0,0
30,2,59496, Bachelors,13,0, Sales,1,0,0,2407,0,40,0,0
32, ?,293936, 7th-8th,4,1, ?,0,0,0,0,0,40, ?,0
48,2,149640, HS-grad,9,0, Transport-moving,1,0,0,0,0,40,0,0
42,2,116632, Doctorate,16,0, Prof-specialty,1,0,0,0,0,45,0,1
29,2,105598, Some-college,10,1, Tech-support,0,0,0,0,0,58,0,0
36,2,155537, HS-grad,9,0, Craft-repair,1,0,0,0,0,40,0,0
28,2,183175, Some-college,10,1, Adm-clerical,0,0,1,0,0,40,0,0
53,2,169846, HS-grad,9,0, Adm-clerical,2,0,1,0,0,40,0,1
49,1,191681, Some-college,10,0, Exec-managerial,1,0,0,0,0,50,0,1
25, ?,200681, Some-college,10,1, ?,3,0,0,0,0,40,0,0
19,2,101509, Some-college,10,1, Prof-specialty,3,0,0,0,0,32,0,0
31,2,309974, Bachelors,13,1, Sales,3,1,1,0,0,40,0,0
29,1,162298, Bachelors,13,0, Sales,1,0,0,0,0,70,0,1
23,2,211678, Some-college,10,1, Machine-op-inspct,0,0,0,0,0,40,0,0
79,2,124744, Some-college,10,0, Prof-specialty,5,0,0,0,0,20,0,0
27,2,213921, HS-grad,9,1, Other-service,3,0,0,0,0,40,1,0
40,2,32214, Assoc-acdm,12,0, Adm-clerical,1,0,0,0,0,40,0,0
67, ?,212759, 10th,6,0, ?,1,0,0,0,0,2,0,0
18,2,309634, 11th,7,1, Other-service,3,0,1,0,0,22,0,0
31,0,125927, 7th-8th,4,0, Farming-fishing,1,0,0,0,0,40,0,0
18,2,446839, HS-grad,9,1, Sales,0,0,0,0,0,30,0,0
52,2,276515, Bachelors,13,0, Other-service,1,0,0,0,0,40,1,0
46,2,51618, HS-grad,9,0, Other-service,2,0,1,0,0,40,0,0
59,2,159937, HS-grad,9,0, Sales,1,0,0,0,0,48,0,0
44,2,343591, HS-grad,9,1, Craft-repair,0,0,1,14344,0,40,0,1
53,2,346253, HS-grad,9,1, Sales,3,0,1,0,0,35,0,0
49,0,268234, HS-grad,9,0, Protective-serv,1,0,0,0,0,40,0,1
33,2,202051, Masters,14,0, Prof-specialty,1,0,0,0,0,50,0,0
30,2,54334, 9th,5,1, Sales,0,0,0,0,0,40,0,0
43,0,410867, Doctorate,16,1, Prof-specialty,0,0,1,0,0,50,0,1
57,2,249977, Assoc-voc,11,0, Prof-specialty,1,0,0,0,0,40,0,0
37,2,286730, Some-college,10,1, Craft-repair,4,0,1,0,0,40,0,0
28,2,212563, Some-college,10,1, Machine-op-inspct,4,1,1,0,0,25,0,0
30,2,117747, HS-grad,9,0, Sales,2,2,1,0,1573,35, ?,0
34,0,226296, Bachelors,13,0, Protective-serv,1,0,0,0,0,40,0,1
29,0,115585, Some-college,10,1, Handlers-cleaners,0,0,0,0,0,50,0,0
48,1,191277, Doctorate,16,0, Prof-specialty,1,0,0,0,1902,60,0,1
37,2,202683, Some-college,10,0, Sales,1,0,0,0,0,48,0,1
48,2,171095, Assoc-acdm,12,1, Exec-managerial,4,0,1,0,0,40,1,0
32,0,249409, HS-grad,9,1, Other-service,3,1,0,0,0,40,0,0
76,2,124191, Masters,14,0, Exec-managerial,1,0,0,0,0,40,0,1
44,2,198282, Bachelors,13,0, Exec-managerial,1,0,0,15024,0,60,0,1
47,1,149116, Masters,14,1, Prof-specialty,0,0,1,0,0,50,0,0
20,2,188300, Some-college,10,1, Tech-support,3,0,1,0,0,40,0,0
29,2,103432, HS-grad,9,1, Craft-repair,0,0,0,0,0,40,0,0
32,1,317660, HS-grad,9,0, Craft-repair,1,0,0,7688,0,40,0,1
17, ?,304873, 10th,6,1, ?,3,0,1,34095,0,32,0,0
30,2,194901, 11th,7,1, Handlers-cleaners,3,0,0,0,0,40,0,0
31,0,189265, HS-grad,9,1, Adm-clerical,0,0,1,0,0,40,0,0
42,2,124692, HS-grad,9,0, Handlers-cleaners,1,0,0,0,0,40,0,0
24,2,432376, Bachelors,13,1, Sales,5,0,0,0,0,40,0,0
38,2,65324, Prof-school,15,0, Prof-specialty,1,0,0,0,0,40,0,1
56,1,335605, HS-grad,9,0, Other-service,1,0,0,0,1887,50,1,1
28,2,377869, Some-college,10,0, Sales,2,0,1,4064,0,25,0,0
36,2,102864, HS-grad,9,1, Machine-op-inspct,3,0,1,0,0,40,0,0
53,2,95647, 9th,5,0, Handlers-cleaners,1,0,0,0,0,50,0,0
56,1,303090, Some-college,10,0, Sales,1,0,0,0,0,50,0,0
49,0,197371, Assoc-voc,11,0, Craft-repair,1,1,0,0,0,40,0,1
55,2,247552, Some-college,10,0, Sales,1,0,0,0,0,56,0,0
22,2,102632, HS-grad,9,1, Craft-repair,0,0,0,0,0,41,0,0
21,2,199915, Some-college,10,1, Other-service,3,0,1,0,0,40,0,0
40,2,118853, Bachelors,13,0, Exec-managerial,1,0,0,0,0,60,0,0
30,2,77143, Bachelors,13,1, Exec-managerial,3,1,0,0,0,40,1,0
29,0,267989, Bachelors,13,0, Prof-specialty,1,0,0,0,0,50,0,1
19,2,301606, Some-college,10,1, Other-service,3,1,0,0,0,35,0,0
47,2,287828, Bachelors,13,0, Exec-managerial,2,0,1,0,0,40,0,1
20,2,111697, Some-college,10,1, Adm-clerical,3,0,1,0,1719,28,0,0
31,2,114937, Assoc-acdm,12,0, Adm-clerical,1,0,0,0,0,40,0,1
35, ?,129305, HS-grad,9,0, ?,1,0,0,0,0,40,0,0
39,2,365739, Some-college,10,1, Craft-repair,0,0,0,0,0,40,0,0
28,2,69621, Assoc-acdm,12,1, Sales,0,0,1,0,0,60,0,0
24,2,43323, HS-grad,9,1, Other-service,0,0,1,0,1762,40,0,0
38,1,120985, HS-grad,9,0, Craft-repair,1,0,0,4386,0,35,0,0
37,2,254202, Bachelors,13,0, Sales,1,0,0,0,0,50,0,0
46,2,146195, Assoc-acdm,12,1, Tech-support,0,1,1,0,0,36,0,0
38,0,125933, Masters,14,0, Prof-specialty,1,0,0,0,0,40,1,1
43,1,56920, HS-grad,9,0, Craft-repair,1,0,0,0,0,60,0,0
27,2,163127, Assoc-voc,11,0, Adm-clerical,2,0,1,0,0,35,0,0
20,2,34310, Some-college,10,1, Sales,3,0,0,0,0,20,0,0
49,2,81973, Some-college,10,0, Craft-repair,1,2,0,0,0,40,0,1
61,1,66614, HS-grad,9,0, Craft-repair,1,0,0,0,0,40,0,0
27,2,232782, Some-college,10,1, Sales,3,0,1,0,0,40,0,0
19,2,316868, Some-college,10,1, Other-service,3,0,0,0,0,30,1,0
45,2,196584, Assoc-voc,11,1, Prof-specialty,0,0,1,0,1564,40,0,1
70,2,105376, Some-college,10,1, Tech-support,5,0,0,0,0,40,0,0
31,2,185814, HS-grad,9,1, Transport-moving,4,1,1,0,0,30,0,0
22,2,175374, Some-college,10,0, Other-service,1,0,0,0,0,24,0,0
36,2,108293, HS-grad,9,1, Other-service,4,0,1,0,0,24,0,0
64,2,181232, 11th,7,0, Craft-repair,1,0,0,0,2179,40,0,0
43, ?,174662, Some-college,10,1, ?,0,0,1,0,0,40,0,0
47,0,186009, Some-college,10,1, Adm-clerical,4,0,1,0,0,38,1,0
34,2,198183, HS-grad,9,1, Adm-clerical,0,0,1,0,0,40,0,0
33,2,163003, Bachelors,13,1, Exec-managerial,5,2,1,0,0,40,1,0
21,2,296158, HS-grad,9,1, Craft-repair,3,0,0,0,0,35,0,0
52, ?,252903, HS-grad,9,1, ?,0,0,0,0,0,45,0,1
48,2,187715, HS-grad,9,0, Craft-repair,1,0,0,0,0,46,0,0
23,2,214542, Bachelors,13,1, Handlers-cleaners,0,0,0,0,0,40,0,0
71,1,494223, Some-college,10,1, Sales,4,1,0,0,1816,2,0,0
29,2,191535, HS-grad,9,1, Craft-repair,0,0,0,0,0,60,0,0
42,2,228456, Bachelors,13,1, Other-service,5,1,0,0,0,50,0,0
68, ?,38317, 1st-4th,2,1, ?,0,0,1,0,0,20,0,0
25,2,252752, HS-grad,9,1, Other-service,4,0,1,0,0,40,0,0
44,1,78374, Masters,14,1, Exec-managerial,4,2,1,0,0,40,0,0
28,2,88419, HS-grad,9,1, Exec-managerial,0,2,1,0,0,40,1,0
45,1,201080, Masters,14,0, Sales,1,0,0,0,0,40,0,1
36,2,207157, Some-college,10,1, Other-service,4,0,1,0,0,40,1,0
39,0,235485, Assoc-acdm,12,1, Exec-managerial,0,0,0,0,0,42,0,0
46,0,102628, Masters,14,1, Protective-serv,4,0,0,0,0,40,0,0
18,2,25828, 11th,7,1, Handlers-cleaners,3,0,0,0,0,16,0,0
66,0,54826, Assoc-voc,11,1, Prof-specialty,0,0,1,0,0,20,0,0
27,2,124953, HS-grad,9,1, Other-service,0,0,0,0,1980,40,0,0
28,0,175325, HS-grad,9,0, Protective-serv,1,0,0,0,0,40,0,0
51,2,96062, Some-college,10,0, Sales,1,0,0,0,1977,40,0,1
27,2,428030, Bachelors,13,1, Craft-repair,0,0,0,0,0,50,0,0
28,0,149624, Bachelors,13,0, Prof-specialty,1,0,0,0,0,40,0,1
27,2,253814, HS-grad,9,1, Sales,4,0,1,0,0,25,0,0
21,2,312956, HS-grad,9,1, Craft-repair,3,1,0,0,0,40,0,0
34,2,483777, HS-grad,9,1, Handlers-cleaners,0,1,0,0,0,40,0,0
18,2,183930, HS-grad,9,1, Other-service,3,0,0,0,0,12,0,0
33,2,37274, Bachelors,13,0, Prof-specialty,1,0,0,0,0,65,0,0
44,0,181344, Some-college,10,0, Exec-managerial,1,1,0,0,0,38,0,1
43,2,114580, Some-college,10,1, Adm-clerical,0,0,1,0,0,40,0,0
30,2,633742, Some-college,10,1, Craft-repair,0,1,0,0,0,45,0,0
40,2,286370, 7th-8th,4,0, Machine-op-inspct,1,0,0,0,0,40,1,1
37,0,29054, Some-college,10,0, Adm-clerical,1,0,0,0,0,42,0,1
34,2,304030, HS-grad,9,0, Adm-clerical,1,1,0,0,0,40,0,0
41,1,143129, Bachelors,13,1, Exec-managerial,0,0,1,0,0,40,0,0
53, ?,135105, Bachelors,13,1, ?,0,0,1,0,0,50,0,0
31,2,99928, Masters,14,0, Prof-specialty,2,0,1,0,0,50,0,0
58,0,109567, Doctorate,16,0, Prof-specialty,1,0,0,0,0,1,0,1
38,2,155222, Some-college,10,1, Machine-op-inspct,0,1,1,0,0,28,0,0
24,2,159567, Some-college,10,0, Machine-op-inspct,1,0,0,0,0,40,0,0
41,0,523910, Bachelors,13,0, Craft-repair,1,1,0,0,0,40,0,0
47,2,120939, Some-college,10,0, Tech-support,1,0,0,0,0,45,0,0
41,0,130760, Bachelors,13,0, Tech-support,1,0,0,0,0,24,0,0
23,2,197387, 5th-6th,3,0, Transport-moving,5,0,0,0,0,40,1,0
36,2,99374, Some-college,10,1, Craft-repair,0,0,0,0,0,40,0,0
40,0,56795, Masters,14,1, Exec-managerial,0,0,1,14084,0,55,0,1
35,2,138992, Masters,14,0, Prof-specialty,5,0,0,7298,0,40,0,1
24,1,32921, HS-grad,9,1, Sales,0,0,0,0,0,40,0,0
26,2,397317, Masters,14,1, Prof-specialty,0,0,1,0,1876,40,0,0
19, ?,170653, HS-grad,9,1, ?,3,0,0,0,0,40,1,0
51,2,259323, Bachelors,13,0, Exec-managerial,1,0,0,0,0,50,0,1
42,0,254817, Some-college,10,1, Prof-specialty,0,0,1,0,1340,40,0,0
37,0,48211, HS-grad,9,1, Adm-clerical,4,0,1,0,0,35,0,0
18,2,140164, 11th,7,1, Sales,3,0,1,0,0,40,0,0
36,2,128757, Bachelors,13,0, Other-service,1,1,0,7298,0,36,0,1
35,2,36270, HS-grad,9,1, Craft-repair,0,0,0,0,0,60,0,0
58,1,210563, HS-grad,9,0, Sales,2,0,1,15024,0,35,0,1
17,2,65368, 11th,7,1, Sales,3,0,1,0,0,12,0,0
44,0,160943, HS-grad,9,0, Transport-moving,1,1,0,0,0,40,0,0
37,2,208358, HS-grad,9,0, Craft-repair,1,0,0,0,0,40,0,1
35,2,153790, Some-college,10,1, Sales,0,1,1,0,0,40,0,0
60,2,85815, HS-grad,9,0, Craft-repair,1,2,0,0,0,40,0,0
54,1,125417, 7th-8th,4,0, Machine-op-inspct,1,0,0,0,0,40,0,1
37,2,635913, Bachelors,13,1, Exec-managerial,0,1,0,0,0,60,0,1
50,2,313321, Assoc-acdm,12,1, Sales,0,0,1,0,0,40,0,0
38,2,182609, Bachelors,13,0, Sales,1,0,0,0,0,50,1,0
45,2,109434, Bachelors,13,0, Prof-specialty,1,0,0,0,0,55,0,0
25,2,255004, 10th,6,1, Craft-repair,0,0,0,0,0,40,0,0
31,2,197860, Some-college,10,0, Handlers-cleaners,1,0,0,0,0,40,0,0
64, ?,187656, 1st-4th,2,1, ?,0,0,0,0,0,40,0,0
90,2,51744, HS-grad,9,1, Other-service,0,1,0,0,2206,40,0,0
54,2,176681, HS-grad,9,0, Adm-clerical,1,1,0,0,0,20,0,0
53,0,140359, Preschool,1,1, Machine-op-inspct,0,0,1,0,0,35,0,0
18,2,243313, HS-grad,9,1, Sales,3,0,1,0,0,40,0,0
60, ?,24215, 10th,6,1, ?,0,1,1,0,0,10,0,0
66,1,167687, HS-grad,9,0, Farming-fishing,1,0,0,1409,0,50,0,0
75,2,314209, Assoc-voc,11,1, Adm-clerical,0,0,1,0,0,20,1,0
65,2,176796, HS-grad,9,1, Adm-clerical,0,0,1,0,0,40,0,0
35,2,538583, 11th,7,1, Transport-moving,0,1,0,3674,0,40,0,0
41,2,130408, HS-grad,9,1, Sales,4,1,1,0,0,38,0,0
25,2,159732, Some-college,10,1, Adm-clerical,0,0,0,0,0,42,0,0
33,2,110978, Some-college,10,1, Craft-repair,5, ?,1,0,0,40,0,0
28,2,76714, Prof-school,15,1, Prof-specialty,0,0,0,0,0,55,0,1
59,0,268700, HS-grad,9,0, Other-service,1,0,0,0,0,40,0,0
40,0,170525, Some-college,10,1, Adm-clerical,0,0,1,0,0,38,0,0
41,2,180138, Bachelors,13,0, Exec-managerial,1,0,0,0,0,50,1,1
38,0,115076, Masters,14,0, Exec-managerial,1,0,0,0,0,70,0,1
23,2,115458, HS-grad,9,1, Transport-moving,3,0,0,0,0,40,0,0
40,2,347890, Bachelors,13,0, Prof-specialty,1,0,0,0,0,40,0,1
41,1,196001, HS-grad,9,0, Other-service,2,0,1,0,0,20,0,0
24,0,273905, Assoc-acdm,12,0, Protective-serv,1,0,0,0,0,50,0,0
20, ?,119156, Some-college,10,1, ?,3,0,0,0,0,20,0,0
38,2,179488, Some-college,10,1, Craft-repair,0,0,0,0,1741,40,0,0
56,2,203580, HS-grad,9,0, Adm-clerical,1,0,0,0,0,35, ?,0
58,2,236596, HS-grad,9,0, Adm-clerical,1,0,0,0,0,45,0,1
32,2,183916, HS-grad,9,1, Other-service,0,0,1,0,0,34,0,0
40,2,207578, Assoc-acdm,12,0, Tech-support,1,0,0,0,1977,60,0,1
45,2,153141, HS-grad,9,0, Adm-clerical,1,0,0,0,0,40, ?,0
41,2,112763, Prof-school,15,0, Prof-specialty,2,0,1,0,0,40,0,1
42,2,390781, Bachelors,13,0, Adm-clerical,2,1,1,0,0,40,0,0
59,0,171328, 10th,6,1, Other-service,4,1,1,0,0,30,0,0
19,0,27382, Some-college,10,1, Adm-clerical,3,0,0,0,0,40,0,0
58,2,259014, Some-college,10,1, Transport-moving,0,0,0,0,0,20,0,0
42,1,303044, HS-grad,9,0, Farming-fishing,1,2,0,0,0,40,1,1
20,2,117789, HS-grad,9,1, Other-service,3,0,1,0,0,40,0,0
32,2,172579, HS-grad,9,1, Other-service,0,0,1,0,0,30,0,0
45,2,187666, Assoc-voc,11,1, Exec-managerial,0,0,1,0,0,45,0,0
50,2,204518, 7th-8th,4,1, Craft-repair,0,0,0,0,0,40,0,0
36,2,150042, Bachelors,13,1, Prof-specialty,3,0,1,0,0,40,0,0
45,2,98092, HS-grad,9,0, Sales,1,0,0,0,0,60,0,0
17,2,245918, 11th,7,1, Other-service,3,0,0,0,0,12,0,0
59,2,146013, Some-college,10,0, Sales,1,0,0,4064,0,40,0,0
26,2,378322, 11th,7,0, Craft-repair,1,0,0,0,0,40,0,0
37,1,257295, Some-college,10,0, Exec-managerial,1,2,0,0,0,75,1,1
19, ?,218956, Some-college,10,1, ?,3,0,0,0,0,24,1,0
64,2,21174, HS-grad,9,0, Exec-managerial,1,0,0,0,0,40,0,1
33,2,185480, Bachelors,13,1, Prof-specialty,0,0,1,0,0,45,0,0
33,2,222205, HS-grad,9,0, Craft-repair,2,0,1,0,0,40,0,1
61,2,69867, HS-grad,9,0, Exec-managerial,1,0,0,0,0,40,0,1
17,2,191260, 9th,5,1, Other-service,3,0,0,1055,0,24,0,0
50,1,30653, Masters,14,0, Farming-fishing,1,0,0,2407,0,98,0,0
27,0,209109, Masters,14,1, Prof-specialty,3,0,0,0,0,35,0,0
30,2,70377, HS-grad,9,1, Prof-specialty,3,0,1,0,0,40,0,0
43,2,477983, HS-grad,9,0, Handlers-cleaners,1,1,0,0,0,40,0,0
44,2,170924, Some-college,10,0, Craft-repair,1,0,0,7298,0,40,0,1
35,2,190174, Some-college,10,1, Exec-managerial,0,0,1,0,0,40,0,0
25,2,193787, Some-college,10,1, Tech-support,3,0,1,0,0,40,0,0
24,2,279472, Some-college,10,0, Machine-op-inspct,2,0,1,7298,0,48,0,1
22,2,34918, Bachelors,13,1, Prof-specialty,0,0,1,0,0,15,1,0
42,0,97688, Some-college,10,0, Craft-repair,1,0,0,5178,0,40,0,1
34,2,175413, Assoc-acdm,12,1, Sales,4,1,1,0,0,45,0,0
60,2,173960, Bachelors,13,1, Prof-specialty,0,0,1,0,0,42,0,0
21,2,205759, HS-grad,9,1, Handlers-cleaners,3,0,0,0,0,40,0,0
57,0,425161, Masters,14,0, Sales,1,0,0,15024,0,40,0,1
41,2,220531, Prof-school,15,0, Prof-specialty,1,0,0,0,0,60,0,1
50,2,176609, Some-college,10,1, Other-service,0,0,0,0,0,45,0,0
25,2,371987, Bachelors,13,1, Exec-managerial,0,0,1,0,0,40,0,0
50,2,193884, 7th-8th,4,0, Craft-repair,1,0,0,0,0,40,1,0
36,2,200352, Bachelors,13,0, Prof-specialty,1,0,0,0,0,45,0,0
31,2,127595, HS-grad,9,1, Prof-specialty,0,0,1,0,0,40,0,0
29,0,220419, Bachelors,13,1, Protective-serv,0,0,0,0,0,56,0,0
21,2,231931, Some-college,10,1, Sales,3,0,0,0,0,45,0,0
27,2,248402, Bachelors,13,1, Tech-support,4,1,1,0,0,40,0,0
65,2,111095, HS-grad,9,0, Transport-moving,1,0,0,0,0,16,0,0
37,1,57424, Bachelors,13,1, Sales,0,0,1,0,0,60,0,0
39, ?,157443, Masters,14,0, ?,2,2,1,3464,0,40, ?,0
24,2,278130, HS-grad,9,1, Craft-repair,3,0,0,0,0,40,0,0
38,2,169469, HS-grad,9,1, Sales,0,0,0,0,0,80,0,0
48,2,146268, Bachelors,13,0, Adm-clerical,1,0,0,7688,0,40,0,1
21,2,153718, Some-college,10,1, Other-service,0,2,1,0,0,25,0,0
31,2,217460, HS-grad,9,0, Transport-moving,1,0,0,0,0,45,0,1
55,2,238638, HS-grad,9,0, Sales,1,0,0,4386,0,40,0,1
24,2,303296, Some-college,10,0, Adm-clerical,2,2,1,0,0,40,1,0
43,2,173321, HS-grad,9,1, Adm-clerical,0,0,1,0,0,40,0,0
26,2,193945, Assoc-acdm,12,1, Tech-support,0,0,0,0,0,45,0,0
46,2,83082, Assoc-acdm,12,1, Prof-specialty,0,0,1,0,0,33,0,0
35,2,193815, Assoc-acdm,12,0, Adm-clerical,1,0,0,0,0,40,0,1
41,1,34987, Some-college,10,0, Farming-fishing,1,0,0,0,0,54,0,1
26,2,59306, Bachelors,13,1, Sales,0,0,0,0,0,40,0,0
34,2,142897, Masters,14,0, Exec-managerial,1,2,0,7298,0,35,1,1
19, ?,860348, Some-college,10,1, ?,3,1,1,0,0,25,0,0
36,1,205607, Bachelors,13,1, Prof-specialty,0,1,1,0,0,40,0,1
22,2,199698, Some-college,10,1, Sales,3,0,0,0,0,15,0,0
24,2,191954, Some-college,10,1, Machine-op-inspct,0,0,0,0,0,40,0,0
77,1,138714, Some-college,10,0, Sales,1,0,0,0,0,40,0,0
22,2,399087, 5th-6th,3,0, Machine-op-inspct,5,0,1,0,0,40,1,0
29,2,423158, Some-college,10,1, Tech-support,0,0,1,0,0,40,0,0
62,2,159841, HS-grad,9,1, Other-service,0,0,1,0,0,24,0,0
39,1,174308, HS-grad,9,0, Exec-managerial,1,0,0,0,0,40,0,0
43,2,50356, Some-college,10,0, Craft-repair,1,0,0,0,1485,50,0,0
35,2,186110, HS-grad,9,1, Transport-moving,0,0,0,0,0,45,0,0
29,2,200381, 11th,7,1, Exec-managerial,0,0,1,0,0,40,0,0
76,1,174309, Masters,14,0, Craft-repair,1,0,0,0,0,10,0,0
63,1,78383, HS-grad,9,0, Farming-fishing,1,0,0,0,0,45,0,0
23, ?,211601, Assoc-voc,11,1, ?,3,1,1,0,0,15,0,0
43,2,187728, Some-college,10,0, Prof-specialty,2,0,1,0,1887,50,0,1
58,1,321171, HS-grad,9,0, Handlers-cleaners,1,0,0,0,0,40,0,0
66,2,127921, HS-grad,9,1, Transport-moving,0,0,0,2050,0,55,0,0
41,2,206565, Some-college,10,1, Craft-repair,0,1,0,0,0,45,0,0
26,2,224563, Bachelors,13,1, Adm-clerical,0,0,0,0,0,40,0,0
47,2,178686, Assoc-voc,11,1, Other-service,0,0,0,0,0,40,0,0
55,0,98545, 10th,6,0, Adm-clerical,1,0,0,0,0,40,0,0
53,2,242606, HS-grad,9,0, Transport-moving,1,0,0,0,0,40,0,0
17,2,270942, 5th-6th,3,1, Other-service,5,0,0,0,0,48,1,0
30,2,94235, HS-grad,9,1, Craft-repair,5,0,0,0,0,40,0,0
49,2,71195, Masters,14,1, Prof-specialty,0,0,0,0,0,60,0,0
19,2,104112, HS-grad,9,1, Sales,4,1,0,0,0,30,1,0
45,2,261192, HS-grad,9,0, Other-service,1,1,0,0,0,40,0,0
26,2,94936, Assoc-acdm,12,1, Sales,0,0,0,0,0,40,0,0
38,2,296478, Assoc-voc,11,0, Craft-repair,1,0,0,7298,0,40,0,1
36,0,119272, HS-grad,9,0, Protective-serv,1,0,0,7298,0,40,0,1
33,2,85043, HS-grad,9,1, Farming-fishing,0,0,0,0,0,20,0,0
22,0,293364, Some-college,10,1, Protective-serv,3,1,1,0,0,40,0,0
43,1,241895, Bachelors,13,1, Sales,0,0,0,0,0,42,0,0
67, ?,36135, 11th,7,0, ?,1,0,0,0,0,8,0,0
30, ?,151989, Assoc-voc,11,1, ?,4,0,1,0,0,40,0,0
56,2,101128, Assoc-acdm,12,1, Other-service,0,0,0,0,0,25,1,0
